Especie	Rendimiento
C_sativum	0.19
C_sativum	0.201
C_sativum	0.172
C_sativum	0.193
C_sativum	0.194
C_sativum	0.225
C_sativum	0.246
C_sativum	0.227
C_sativum	0.228
C_sativum	0.219
C_sativum	0.25
C_sativum	0.041
C_sativum	0.212
C_sativum	0.183
C_sativum	0.204
C_sativum	0.175
C_sativum	0.266
C_sativum	0.087
C_sativum	0.138
C_sativum	0.319
C_sativum	0.19
C_sativum	0.199
C_sativum	0.268
C_sativum	0.087
C_sativum	0.156
C_sativum	0.175
C_sativum	0.224
C_sativum	0.213
C_sativum	0.222
C_sativum	0.251
C_sativum	0.11
C_sativum	0.139
C_sativum	0.198
C_sativum	0.287
C_sativum	0.316
C_sativum	0.235
C_sativum	0.304
C_sativum	0.183
C_sativum	0.212
C_sativum	0.061
C_tordylium	0.22
C_tordylium	0.191
C_tordylium	0.231
C_tordylium	0.153
C_tordylium	0.164
C_tordylium	0.205
C_tordylium	0.106
C_tordylium	0.197
C_tordylium	0.258
C_tordylium	0.279
C_tordylium	0.34
C_tordylium	0.321
C_tordylium	0.172
C_tordylium	0.193
C_tordylium	0.314
C_tordylium	0.245
C_tordylium	0.216
C_tordylium	0.257
C_tordylium	0.168
C_tordylium	0.179
C_tordylium	0.23
C_tordylium	0.119
C_tordylium	0.198
C_tordylium	0.277
C_tordylium	0.286
C_tordylium	0.355
C_tordylium	0.334
C_tordylium	0.173
C_tordylium	0.212
C_tordylium	0.301
C_tordylium	0.24
C_tordylium	0.199
C_tordylium	0.248
C_tordylium	0.157
C_tordylium	0.166
C_tordylium	0.345
C_tordylium	0.324
C_tordylium	0.133
C_tordylium	0.172
C_tordylium	0.341
